Paper,Full title,Fairness-1,Fairness-2,Fairness-3,Universality-1,Universality-2,Universality-3,Universality-4,Traceability-1,Traceability-2,Traceability-3,Traceability-4,Traceability-5,Traceability-6,Usability-1,Usability-2,Usability-3,Usability-4,Usability-5,Robustness-1,Robustness-2,Robustness-3,Explainability-1,Explainability-2,General-1,General-2,General-3,General-4,General-5,General-6,General-7
"Do NT et al., 2021","Do NT, Jung ST, Yang HJ, Kim SH. Multi-level seg-unet model with global and patch-based x-ray images for knee bone tumor detection. Diagn. 2021;11(4).",No potential biases were discussed prior to AI development,No relevant attributes of the patient were collected;,Biases were investigated and reported,The clinical setting was not reported ,Yes,This study only used single center data --> no external validation;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,No documentation has been provided,Monitoring or quality control measures have been implemented for either the inputs or outputs ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has not been discussed,The representative of the training data to the real-world data was evaluated,The AI tool has not been evaluated against real-world data (test data),"At least one of the following areas is discussed: (i) the goal of the explanations (eg global description of the model’s behaviour vs local explanation of each AI decision), (ii) the most suitable approach for AI explainability and (iii) the potential limitations to anticipate and monitor (eg over-reliance of the end-users on the AI decision)",Explainability has not been defined or not evaluated with end-users,Yes,Yes,No mitigation measures to address challenges and risks identified at the design stage have been reported,Evaluation was not conducted using standardized and best practices,No,No,No
"Liu B et al., 2022","Liu B, Liu H, Zhang L, Song Y, Yang S, Zheng Z, et al. Value of contrast-enhanced CT based radiomic machine learning algorithm in differentiating gastrointestinal stromal tumors with KIT exon 11 mutation: a two-center study. Diagn Interv Radiol. 2022;28(1):29-38.",No potential biases were discussed prior to AI development,"More than two attributes in the list were collected, OR with other attributes","Biases were also corrected for by mitigation measures (In case of no biases found, 3 also applies)",The clinical setting was not reported ,Yes,This study only used single center data --> no external validation;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,No documentation has been provided,No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has not been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,Yes,Yes,"One mitigation measure (1 of F3, R2 or R3 ) to either enhance robusteness to real-world variation or ensure generalisability across settings or to correct for biases across subgroups has been taken ",Evaluation was not conducted using standardized and best practices,No,No,No
"Hajianfar G et al., 2023","Hajianfar G, Sabouri M, Salimi Y, Amini M, Bagheri S, Jenabi E, et al. Artificial intelligence-based analysis of whole-body bone scintigraphy: The quest for the optimal deep learning algorithm and comparison with human observer performance. 2023.",No potential biases were discussed prior to AI development,"At least the two attributes in the list collected; (list :sex OR gender, age, ethnicity, risk factors(as 1 item), comorbidities or disabilities)",Biases were neither investigated nor corrected for,The clinical setting was not reported ,No,This study only used single center data --> no external validation;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,No documentation has been provided,No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has not been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,Yes,No,No mitigation measures to address challenges and risks identified at the design stage have been reported,Evaluation was not conducted using standardized and best practices,No,No,No
"Gao Y et al., 2020","Gao Y, Kalbasi A, Hsu W, Ruan D, Fu J, Shao J, et al. Treatment effect prediction for sarcoma patients treated with preoperative radiotherapy using radiomics features from longitudinal diffusion-weighted MRIs. Phys Med Biol. 2020;65(17):175006.",No potential biases were discussed prior to AI development,"At least the two attributes in the list collected; (list :sex OR gender, age, ethnicity, risk factors(as 1 item), comorbidities or disabilities)",Biases were neither investigated nor corrected for,The clinical setting was not reported ,Yes,This study only used single center data --> no external validation;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,No documentation has been provided,No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has not been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,Yes,Yes,No mitigation measures to address challenges and risks identified at the design stage have been reported,Evaluation was not conducted using standardized and best practices,No,No,No
"Gitto S et al., 2022","Gitto S, Bologna M, Corino VDA, Emili I, Albano D, Messina C, et al. Diffusion-weighted MRI radiomics of spine bone tumors: feature stability and machine learning-based classification performance. Radiol Med (Torino). 2022;127(5):518-25.",No potential biases were discussed prior to AI development,"At least the two attributes in the list collected; (list :sex OR gender, age, ethnicity, risk factors(as 1 item), comorbidities or disabilities)",Biases were neither investigated nor corrected for,The clinical setting was not reported ,Yes,This study only used single center data --> no external validation;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,No documentation has been provided,No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has not been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has not been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,Yes,Yes,No mitigation measures to address challenges and risks identified at the design stage have been reported,Evaluation was not conducted using standardized and best practices,No,No,No
"Gitto S et al., 2023","Gitto S, Interlenghi M, Cuocolo R, Salvatore C, Giannetta V, Badalyan J, et al. MRI radiomics-based machine learning for classification of deep-seated lipoma and atypical lipomatous tumor of the extremities. Radiol Med (Torino). 2023;128(8):989-98.",No potential biases were discussed prior to AI development,"At least the two attributes in the list collected; (list :sex OR gender, age, ethnicity, risk factors(as 1 item), comorbidities or disabilities)",Biases were investigated and reported,The clinical setting was not reported ,Yes,"Evaluation was performed using external dataset from one other site (or same source, eg public available);",local clinical validity has been discussed and evaluated,Risks regarding the AI lifecycle have not been described,No documentation has been provided,No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,Yes,Yes,No mitigation measures to address challenges and risks identified at the design stage have been reported,A seperate test set was used to evaluate the AI tool and reported on using appropriate evaluation metrics (eg sensitivity and specificity) ,No,No,No
"He Y et al., 2020","He Y, Pan I, Bao B, Halsey K, Chang M, Liu H, et al. Deep learning-based classification of primary bone tumors on radiographs: A preliminary study. EBioMedicine. 2020;62.",No potential biases were discussed prior to AI development,"At least the two attributes in the list collected; (list :sex OR gender, age, ethnicity, risk factors(as 1 item), comorbidities or disabilities)",Biases were neither investigated nor corrected for,"Clinical setting outlined (eg primary healthcare centres, hospitals, home care, low vs high-resource settings, one or multiple countries)",Yes,Evaluation was performed using external dataset from multiple sites;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,Documentation about 1-2 points (see decription) have been provided),No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has not been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,Yes,Yes,No mitigation measures to address challenges and risks identified at the design stage have been reported,A seperate test set was used to evaluate the AI tool and reported on using appropriate evaluation metrics (eg sensitivity and specificity) ,No,No,No
"Shao M et al., 2021","Shao M, Niu Z, He L, Fang Z, He J, Xie Z, et al. Building Radiomics Models Based on Triple-Phase CT Images Combining Clinical Features for Discriminating the Risk Rating in Gastrointestinal Stromal Tumors. Front oncol. 2021;11:737302.",No potential biases were discussed prior to AI development,"More than two attributes in the list were collected, OR with other attributes",Biases were investigated and reported,The clinical setting was not reported ,Yes,This study only used single center data --> no external validation;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,No documentation has been provided,No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, and no intended use and user requirement was described",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has not been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has not been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,No,Yes,No mitigation measures to address challenges and risks identified at the design stage have been reported,Evaluation was not conducted using standardized and best practices,No,No,No
"Wang Q et al., 2022","Wang Q, Zhang Y, Zhang E, Xing X, Chen Y, Nie K, et al. A Multiparametric Method Based on Clinical and CT-Based Radiomics to Predict the Expression of p53 and VEGF in Patients With Spinal Giant Cell Tumor of Bone. Front oncol. 2022;12:894696.","Potential biases in at least 1 group (group attributes, medical profile, human biases) were discussed prior to AI development","More than two attributes in the list were collected, OR with other attributes",Biases were investigated and reported,The clinical setting was not reported ,Yes,This study only used single center data --> no external validation;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,No documentation has been provided,No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has not been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,Yes,Yes,No mitigation measures to address challenges and risks identified at the design stage have been reported,Evaluation was not conducted using standardized and best practices,No,No,No
"Wang C et al., 2019","Wang C, Li H, Jiaerken Y, Huang P, Sun L, Dong F, et al. Building CT Radiomics-Based Models for Preoperatively Predicting Malignant Potential and Mitotic Count of Gastrointestinal Stromal Tumors. Transl Oncol. 2019;12(9):1229-36.",No potential biases were discussed prior to AI development,"At least the two attributes in the list collected; (list :sex OR gender, age, ethnicity, risk factors(as 1 item), comorbidities or disabilities)",Biases were neither investigated nor corrected for,The clinical setting was not reported ,Yes,This study only used single center data --> no external validation;,"local clinical validity has not been discussed, or was not applicable (eg AI tool was not deployed outside of research setting/externally) ",Risks regarding the AI lifecycle have not been described,No documentation has been provided,No monitoring or quality control measures of either inputs or outputs have beenimplemented ,No discussion of audit or future updating,No system has been devised for logging usage of the AI tool,AI has no governance mechanism (see question for examples),"Only 1 type of stakeholder (eg AI developers/departments) was present for AI development, however intended use and end-user requirement was described; OR, multiple stakeholders were present for AI development, no intented use or requirement was decribed",The AI tool has no human oversight,No,The AI tool was not evaluated for user experience,The AI tool was not evaluated for clinical utility and safety ,Data acquisiton and possible variation of the data source to the real world has not been discussed,The representative of the training data to the real-world data was not evaluated,The AI tool has not been evaluated against real-world data (test data),Explainibility has not been defined at the design phase,Explainability has not been defined or not evaluated with end-users,Yes,Yes,No mitigation measures to address challenges and risks identified at the design stage have been reported,Evaluation was not conducted using standardized and best practices,No,No,No
